Algorithm,Clusters,Silhouette,CalinskiHarabasz,DaviesBouldin,BIC,AIC,BICPerRow,AICPerRow,MinClusterShare,Converged,Eligible,Selected,SelectionRows,SilhouetteRows
K-Means,2,0.7084348671080891,743.2857589253492,0.4267317689865273,,,,,0.01504,True,False,False,50000,3000
GMM,2,0.37593780905963164,229.33770944496953,2.6192629794783966,-368762.112617324,-369123.7235269848,-7.37524225234648,-7.382474470539696,0.1025,True,True,True,50000,3000
K-Means,3,0.16898095521027362,676.2349696248309,1.6167388271946523,,,,,0.01498,True,False,False,50000,3000
GMM,3,0.2911089029356761,482.50221188304755,1.8701628689236731,-387681.551252008,-388228.37750564143,-7.7536310250401606,-7.764567550112829,0.01488,True,False,False,50000,3000
K-Means,4,0.17463110278527968,668.2033257006858,1.4922140834650417,,,,,0.01498,True,False,False,50000,3000
GMM,4,0.16099765780594735,600.7463308662907,1.5867289900995063,-904074.724639938,-904806.766237544,-18.08149449279876,-18.09613532475088,0.01486,True,False,False,50000,3000
K-Means,5,0.17268574830420902,644.6431472617843,1.442259413099849,,,,,0.01498,True,False,False,50000,3000
GMM,5,0.15337751156616095,510.58780356495237,1.5004127032234649,-931291.997499864,-932209.2544414427,-18.625839949997278,-18.644185088828852,0.01484,True,False,False,50000,3000
K-Means,6,0.1818980516876286,716.9595489084094,1.2331506164288886,,,,,0.00148,True,False,False,50000,3000
GMM,6,0.16745614037486095,459.5738327093639,1.829195786016297,-1032318.8844667843,-1033421.3567523356,-20.646377689335687,-20.668427135046713,0.01484,True,False,False,50000,3000
